company_id,kind,company_name,domain,also_known_as,crm_account_ids,survivor_account_id,duplicate_account_ids
C001,company,Aldergate Telecom,aldergate.com,,A1027,A1027,
C002,company,Apex Logistics,apexlogistics.com,"Apex Logistics, Inc.",A1001 | A91001,A1001,A91001
C003,company,Apex Holdings,apexlogisticsgroup.co.uk,,A1002,A1002,
C004,company,Ashgrove Agriculture,ashgroveag.com,Ashgrove Agriculture Inc,A1035 | A91035,A1035,A91035
C005,company,Bexley Bioworks,bexleybio.com,,A1045,A1045,
C006,company,Blackwood Holdings,blackwoodindustrial.com,,A1010,A1010,
C007,company,Brightmoor Energy,brightmoorenergy.com,Brightmoor Energy Inc,A1006 | A91006,A1006,A91006
C008,company,Cindermill Holdings,cindermill.com,,A1025,A1025,
C009,company,Cobalt Lane Capital Markets,cobaltlanecm.com,,A1038,A1038,
C010,company,Duncastle Holdings,duncastle.com,,A1029,A1029,
C011,company,Ellerby Semiconductor,ellerbysemi.com,"Ellerby Semiconductor, Inc.",A1020 | A91020,A1020,A91020
C012,company,Falkirk Shipping,falkirkshipping.com,,A1040,A1040,
C013,company,Ferrowick Insurance,ferrowick.com,,A1016,A1016,
C014,company,Kestrel Airlines,flykestrel.com,,A1012,A1012,
C015,company,Glasspoint Health,glasspointhealth.com,,A1017,A1017,
C016,company,Gravenhurst Motors,gravenhurst.com,,A1041,A1041,
C017,company,Halcyon Grid,halcyongrid.com,,A1008,A1008,
C018,company,Harrowgate Health,harrowgatehealth.com,,A1050,A1050,
C019,company,Hollowbrook Grocers,hollowbrook.com,Hollowbrook Grocers Inc.,A1024 | A91024,A1024,A91024
C020,company,Ironvale Steel,ironvalesteel.com,,A1009,A1009,
C021,company,Larchmont Aerospace,larchmontaero.com,,A1042,A1042,
C022,company,Larkhall Software,larkhall.io,,A1022,A1022,
C023,company,Marchford Clinics,marchfordclinics.com,,A1018,A1018,
C024,company,Marlowe Freight Systems,marlowefreight.com,,A1047,A1047,
C025,company,Meridian Holdings,meridianpeakfoods.com,,A1034,A1034,
C026,company,Northwind Freight,northwindfreight.com,,A1003,A1003,
C027,company,Nortonbury Logistics,nortonbury.com,,A1039,A1039,
C028,company,Osric Networks,osricnetworks.com,,A1044,A1044,
C029,company,Pelham Beverage,pelhambev.com,,A1043,A1043,
C030,company,Pemberton Retail,pembertonretail.com,,A1023,A1023,
C031,company,Priorwood Chemicals,priorwood.com,,A1030,A1030,
C032,company,Quillon Pharma,quillonpharma.com,,A1019,A1019,
C033,company,Ravensmoor Defense,ravensmoor.com,,A1031,A1031,
C034,company,Sablefield Motors,sablefield.com,,A1005,A1005,
C035,company,Silverbrook Paper,silverbrookpaper.com,Silverbrook Paper Corp,A1032 | A91032,A1032,A91032
C036,company,Strathmore Holdings,strathmorerail.com,,A1026,A1026,
C037,company,Sundermere Bank,sundermere.com,,A1014,A1014,
C038,company,Tessellate Payments,tessellate.co,,A1037,A1037,
C039,company,Thistledown Energy,thistledownenergy.com,,A1046,A1046,
C040,company,Thornbury Financial,thornburyfinancial.com,THORNBURYFINANCIAL,A1015,A1015,
C041,company,Vantage Ridge Utilities,vantageridge.com,,A1007,A1007,
C042,company,Volney Industrial Systems,volney.com,,A1049,A1049,
C043,company,Wrenfield Robotics,wrenfield.ai,WRENFIELDROBOTICS,A1036,A1036,
C044,company,Yarrowdale Media,yarrowdale.com,,A1028,A1028,
F001,fund,Ashgrove Capital,,,,,
F002,fund,Blackwood Ventures,,,,,
F003,fund,Cobalt Lane Ventures,,,,,
F004,fund,Ironvale Partners,,,,,
F005,fund,Meridian Peak Partners,,,,,
F006,fund,Northgate Growth,,,,,
F007,fund,Redtree Capital,,,,,
F008,fund,Silverbrook Capital,,,,,
F009,fund,Thornbury Equity,,,,,
