company_string,sources,company_id,company_name,kind,method,confidence,needs_review,candidates
Aldergate Telecom,crm_accounts | intro_requests,C001,Aldergate Telecom,company,name-exact,1.00,no,
Ambrose Trading,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Apex Holdings,crm_accounts,C003,Apex Holdings,company,name-exact,1.00,no,
Apex Logistics,connections_aldridge | connections_duvall | crm_accounts | intro_requests,C002,Apex Logistics,company,name-exact,1.00,no,
Apex Logistics Group,connections_aldridge | intro_requests | investor_network.portfolio_company,C003,Apex Holdings,company,domain-stem,0.95,no,
"Apex Logistics, Inc.",crm_accounts,C002,Apex Logistics,company,name-exact,1.00,no,
Ashgrove Agriculture,crm_accounts | intro_requests,C004,Ashgrove Agriculture,company,name-exact,1.00,no,
Ashgrove Agriculture Inc,crm_accounts,C004,Ashgrove Agriculture,company,name-exact,1.00,no,
Ashgrove Capital,investor_network.fund,F001,Ashgrove Capital,fund,name-exact,1.00,no,
Bellchamber Media,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Bexley Bioworks,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_whitfield | crm_accounts | intro_requests | investor_network.portfolio_company,C005,Bexley Bioworks,company,name-exact,1.00,no,
Blackwood Holdings,crm_accounts,C006,Blackwood Holdings,company,name-exact,1.00,no,
Blackwood Industrial,connections_aldridge | connections_beckett | connections_duvall | connections_trask | intro_requests | investor_network.portfolio_company | investor_network.prior_employer,C006,Blackwood Holdings,company,domain-stem,0.95,no,
Blackwood Ventures,investor_network.fund,F002,Blackwood Ventures,fund,name-exact,1.00,no,
Brightmoor Energy,connections_duvall | crm_accounts | intro_requests | investor_network.prior_employer,C007,Brightmoor Energy,company,name-exact,1.00,no,
Brightmoor Energy Inc,crm_accounts,C007,Brightmoor Energy,company,name-exact,1.00,no,
Calderon Aerospace,connections_aldridge | connections_duvall | connections_raghunathan | connections_trask | intro_requests,,,,unmatched,0.00,yes,
Cindermill Holdings,crm_accounts,C008,Cindermill Holdings,company,name-exact,1.00,no,
Cindermill Mining,connections_aldridge | connections_beckett | connections_duvall | connections_trask | intro_requests | investor_network.portfolio_company | investor_network.prior_employer,C008,Cindermill Holdings,company,name-prefix,0.78,no,C008 Cindermill Holdings (company)
Cobalt Lane,intro_requests,,,,fund-or-customer,0.50,yes,C009 Cobalt Lane Capital Markets (company) | F003 Cobalt Lane Ventures (fund)
Cobalt Lane Capital Markets,connections_beckett | connections_raghunathan | crm_accounts | intro_requests | investor_network.portfolio_company,C009,Cobalt Lane Capital Markets,company,name-exact,1.00,no,
Cobalt Lane Ventures,investor_network.fund,F003,Cobalt Lane Ventures,fund,name-exact,1.00,no,
Copperline Water,intro_requests,,,,unmatched,0.00,yes,
Corbridge Realty,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Duncastle Holdings,crm_accounts,C010,Duncastle Holdings,company,name-exact,1.00,no,
Duncastle Hotels,intro_requests | investor_network.portfolio_company,C010,Duncastle Holdings,company,name-prefix,0.78,no,C010 Duncastle Holdings (company)
Dunmowe Travel,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
