company_string,sources,company_id,company_name,kind,method,confidence,needs_review,candidates
Ambrose Trading,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Bellchamber Media,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Calderon Aerospace,connections_aldridge | connections_duvall | connections_raghunathan | connections_trask | intro_requests,,,,unmatched,0.00,yes,
Cobalt Lane,intro_requests,,,,fund-or-customer,0.50,yes,C009 Cobalt Lane Capital Markets (company) | F003 Cobalt Lane Ventures (fund)
Copperline Water,intro_requests,,,,unmatched,0.00,yes,
Corbridge Realty,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Dunmowe Travel,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Elmsworth Tutors,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Fairbourne Fitness,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Garrowby Books,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Highmoor Cycles,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Inglenook Bakery,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Kingsmere Retail Group,connections_beckett | connections_raghunathan | connections_trask | connections_whitfield | intro_requests | investor_network.prior_employer,,,,unmatched,0.00,yes,
Marrow Point Airways,intro_requests,,,,unmatched,0.00,yes,
Meridian Peak,intro_requests,,,,fund-or-customer,0.50,yes,C025 Meridian Holdings (company) | F005 Meridian Peak Partners (fund)
Ondermark Consulting,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Pale Harbour Studio,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Quintrell Advisory,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Redtree Foods,connections_aldridge | connections_raghunathan | connections_trask | intro_requests | investor_network.portfolio_company | investor_network.prior_employer,,,,unmatched,0.00,yes,
Rooksby Legal,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Silverbrook,intro_requests,,,,fund-or-customer,0.50,yes,C035 Silverbrook Paper (company) | F008 Silverbrook Capital (fund)
Tannerly Design,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Thornbury,intro_requests,,,,fund-or-customer,0.50,yes,C040 Thornbury Financial (company) | F009 Thornbury Equity (fund)
Underwood & Vale,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Vespermill Analytics,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Vireo Systems,connections_aldridge | connections_duvall | intro_requests | investor_network.portfolio_company,,,,unmatched,0.00,yes,
Whitlock Staffing,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Xanthe Labs,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Yardley Print,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
Zenner Foods,connections_aldridge | connections_beckett | connections_duvall | connections_raghunathan | connections_trask | connections_whitfield,,,,unmatched,0.00,yes,
